lat,lng,competitor_count_1km,area_store_density_3km,competition_ratio,is_high_competition,log_reviews,rating
12.8905455,77.5478212,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.5528212,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.55782119999999,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.56282119999999,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.56782119999998,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.57282119999998,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.57782119999997,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.58282119999997,0,4,0.0,0,3.020127355638707,4.05
12.8905455,77.58782119999996,0,13,0.0,0,3.020127355638707,4.05
12.8905455,77.59282119999996,0,20,0.0,0,3.020127355638707,4.05
12.8905455,77.59782119999996,0,22,0.0,0,3.020127355638707,4.05
12.8905455,77.60282119999995,0,27,0.0,0,3.020127355638707,4.05
12.8905455,77.60782119999995,2,27,0.07142857142857142,0,3.020127355638707,4.05
12.8905455,77.61282119999994,1,28,0.034482758620689655,0,3.020127355638707,4.05
12.8905455,77.61782119999994,1,27,0.03571428571428571,0,3.020127355638707,4.05
12.8905455,77.62282119999993,1,25,0.038461538461538464,0,3.020127355638707,4.05
12.8905455,77.62782119999993,1,19,0.05,0,3.020127355638707,4.05
12.8905455,77.63282119999992,0,17,0.0,0,3.020127355638707,4.05
12.8905455,77.63782119999992,0,12,0.0,0,3.020127355638707,4.05
12.8905455,77.64282119999991,0,9,0.0,0,3.020127355638707,4.05
12.8905455,77.64782119999991,0,6,0.0,0,3.020127355638707,4.05
12.8905455,77.6528211999999,0,3,0.0,0,3.020127355638707,4.05
12.8905455,77.6578211999999,0,2,0.0,0,3.020127355638707,4.05
12.8905455,77.6628211999999,0,1,0.0,0,3.020127355638707,4.05
12.8905455,77.66782119999989,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.67282119999989,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.67782119999988,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.68282119999988,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.68782119999987,0,0,0.0,0,3.020127355638707,4.05
