name,lat,lng,rating,user_ratings_total,vicinity
ebuy sell rent,12.9642445,77.58122089999999,0.0,0,"K S Lane, Silver Jubilee Park Road, S J, P K, R Market, Bengaluru"
Shree Ramdev Steel Furniture and Steel Hardware Sujalpur Mandi,12.9745735,77.60967839999999,0.0,0,"XJF5+RVF, Mahatma Gandhi Road, Bengaluru"
Industrial Tooling Solutions,12.9631922,77.58157109999999,0.0,0,"4th Floor, 66, Narasimharaja Road, Bengaluru"
The Organic World - Cunningham Road,12.986871,77.59478299999999,4.4,224,"Shah Sultan Complex, Cunningham Road, Vasanth Nagar, Bengaluru"
SAIF ENTERPRISES,12.9654197,77.5802278,5.0,5,"40, Sadar Patrappa Road, Dodpete, Nagarathpete, Bengaluru"
Screw Bazar,12.9649848,77.5803844,5.0,54,"1st Floor, RK Mansion, 124/1, Venkataramana Naik Lane, S.P Road Cross, Kumbarpet, Dodpete, Nagarathpete, Bengaluru"
V.p Industrial Suppliers,12.9649828,77.58032229999999,5.0,22,"1st Floor, Dr, Belagodu Complex, 40/3, Sadar Patrappa Road, Bengaluru"
CLUB - Kenkia Supermarket,12.9848884,77.60267089999999,5.0,1,"Ground Floor, Hazi Masjid, 59, Chandni Chowk Road, Bhattarahalli, Bengaluru"
KENKIA SUPER MARKET,12.9849144,77.6026888,2.7,3,"near Bilal Bakery, 59, Chandni Chowk Road, Shivaji Nagar, Bengaluru"
VIJAY TRADING CORPORATION,12.9600943,77.583797,4.0,54,"2nd ROAD AFTER HDFC BANK, Aswath Lakshmi Complex, 1/1,1st B CROSS, JC Road, Bengaluru"
RB Supermarket,12.9852773,77.6035333,4.0,24,"Chandni Chowk Road, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru"
Food Mall,12.9333505,77.6297774,3.9,147,"Sr. No. 654, 11th Main, 80 Feet Road, 4th Block, Koramangala, Bengaluru"
Safal Daily Fresh by Karnataka Cooperative Oilseeds Growers' Federation,12.944634,77.6199602,4.1,35,"WJV9+VX4, near Koramanga Residency, 80 Feet Road, Koramangala 8th Block, Bengaluru"
National Stores,12.9434152,77.61853289999999,3.7,3,"8th Block, 57, Lakshmi Devi Temple Road, Koramangala 8th Block, Koramangala, Bengaluru"
Nature's Basket,12.9336458,77.62285659999999,4.2,2224,"9, 17th A Main Road, KHB Colony, 5th Block, Koramangala, Bengaluru"
MINI MART,12.9350238,77.6188081,4.2,61,"KHB Colony, Koramangala, Bengaluru"
Reliance Fresh,12.9403664,77.6200313,3.9,2136,"Municipal No. 581/A (Pid No. 67-6-581/A Opp Bethany School Ground, Koramangala 8th Block, Koramangala, Bengaluru"
ESTEEM POWER TRAX PVT LTD,12.9414213,77.6080774,0.0,0,India
Swaraj Hyper Market,12.923326,77.61228969999999,4.0,6077,"opposite swaraj hypermarket, Chocolate Factory Road, Madiwala, Bengaluru"
Vishal Mega Mart,12.9131211,77.62599709999999,4.0,7668,"No. 31/9, Krimson square, Near Central Silk Board, Junction, Hosur Road, Bommanahalli, Bengaluru"
Mangal Infra,12.9523212,77.6400069,3.7,3,"10A/11A, 4TH Floor, Maruti Infotech Center, Intermediate 560071, North Ring Road, ITI Colony, Domlur, Bengaluru"
Ashirwad Supermarket,12.9151706,77.6059697,4.2,4270,"284, 7th Main Road, BTM Layout 2nd Stage, Bengaluru"
More Supermarket - MARUTI NAGAR,12.9215696,77.61382669999999,3.8,3817,"#3, Maruthi Nagar Main Road, BTM 1st Stage, Bengaluru"
Sharana Sharanappa,12.9351965,77.62448069999999,5.0,2,"002, Koramangala, Bengaluru"
Syed Jameel Ahmed,12.9352403,77.624532,3.0,1,"KHB Colony, 4th Block, Koramangala, Bengaluru"
Sowbhagya Traders,12.9350579,77.62323909999999,4.2,4332,"No. 6, 5th Cross Road, 6th Block, Koramangala, Bengaluru"
Maharaja marketing,12.936916,77.62422579999999,1.0,1,"near Koramangala Club Swimming Pool, 17th B Main Road, Bengaluru"
Mahalakshmi Stores,12.9355072,77.6226274,4.5,20,"13, 60 Feet Road, KHB Colony, 6th Block, Koramangala, Bengaluru"
G Mart,12.937142,77.6247542,1.8,15,"6th Block, Koramangala 506, AKR Arcade, Koramangala"
Shree Ganesh Refilling Center,12.9328582,77.6226731,4.5,6,"32, 100 Feet Road KHB Block Koramangala, Jaya Nagar, 1st Block Koramangala, Koramangala, Bengaluru"
Sri Mahalakshmi Super Market,12.9332083,77.6271168,3.9,280,"ph7899337916 441, 8th Main Rd, 4th Block, 5th Block, Koramangala, Bengaluru, Karnataka 560034 ph, Koramangala, Bengaluru"
Family Supermarket,12.931795,77.62339999999999,5.0,2,"near BDA COMPLEX, 70, 7th A Cross Road, 4th Block, Koramangala, Bengaluru"
Mariyas Bakery And Super Store,12.940913,77.62869789999999,4.0,287,"#40, 27th Cross Road, Ashwini Layout, Ejipura, Bengaluru"
Girija Vegetables Shop,12.929195,77.63115239999999,5.0,5,"next to RAHEJA RESIDENCY, 37, 8th C Main Road, Jakasandra Block, Koramangala 3 Block, Koramangala, Bengaluru"
Behtar Enabled Haiwa Home Departmental Store,12.9432025,77.6284721,4.0,24,"WJVH+79Q, Sri Rama Temple Road, Gowda Muniswamy Garden, Ejipura, Bengaluru"
Reliance Fresh,12.942006,77.6174276,3.8,211,"Block, 2Nd Phase,6Th, 496, 2nd Main Road, Stage, BTM Layout, Bengaluru"
